SIZE N COMPARISONS TIME
50000 0 735767 2.660000000000082
50000 1 775484 0.8700000000000045
50000 2 808478 2.240000000000009
50000 3 728786 1.2999999999999545
50000 4 778442 0.8100000000000591
50000 5 806228 3.1400000000001
50000 6 817763 0.7200000000000273
50000 7 798222 0.7599999999999909
50000 8 744846 3.480000000000018
50000 9 778545 0.7799999999999727
50000 10 725156 0.7300000000000182
50000 11 788654 3.269999999999982
50000 12 830954 0.7699999999999818
50000 13 726154 1.2699999999999818
50000 14 912298 2.199999999999932
50000 15 840337 0.7700000000000955
50000 16 776959 0.7199999999999136
50000 17 757103 3.3299999999999272
50000 18 782101 0.7200000000000273
50000 19 842408 0.7400000000000091
50000 20 786942 0.75
50000 21 782043 3.42999999999995
50000 22 745632 0.7100000000000364
50000 23 709161 0.67999999999995
50000 24 765265 1.3500000000000227
50000 25 752195 2.1700000000000728
50000 26 871334 0.7599999999999909
50000 27 762517 0.7200000000000273
50000 28 756064 2.689999999999941
50000 29 705759 0.7900000000000773
50000 30 818637 0.7300000000000182
50000 31 729796 3.230000000000018
50000 32 771611 0.7299999999999045
50000 33 822978 0.7899999999999636
50000 34 766771 3.519999999999982
50000 35 754434 0.7300000000000182
50000 36 777011 0.7100000000000364
50000 37 794422 3.199999999999932
50000 38 865081 0.75
50000 39 764514 1.2200000000000273
50000 40 866835 2.4400000000000546
50000 41 831039 0.7400000000000091
50000 42 798276 0.7799999999999727
50000 43 790742 3.019999999999982
50000 44 844243 0.7300000000000182
50000 45 760086 0.7300000000000182
50000 46 714001 0.7699999999999818
50000 47 855451 3.449999999999932
50000 48 762379 0.6899999999999409
50000 49 754452 2.019999999999982
50000 50 797243 1.3700000000000045
50000 51 716668 0.6900000000000546
50000 52 827603 2.080000000000041
50000 53 779306 1.5600000000000591
50000 54 755062 0.6999999999999318
50000 55 749327 2.6299999999999955
50000 56 762023 1.009999999999991
50000 57 783475 0.75
50000 58 737253 3.259999999999991
50000 59 791991 0.75
50000 60 792880 0.8299999999999272
50000 61 733595 3.4700000000000273
50000 62 730525 0.7100000000000364
50000 63 743013 0.7199999999999136
50000 64 722008 3.259999999999991
50000 65 749608 0.7100000000000364
50000 66 771016 0.9499999999999318
50000 67 792481 2.5800000000001546
50000 68 762801 0.7300000000000182
50000 69 733247 0.709999999999809
50000 70 816326 2.5300000000002
50000 71 747111 0.9400000000000546
50000 72 785743 0.7300000000000182
50000 73 744718 0.7400000000000091
50000 74 735864 3.3600000000001273
50000 75 950446 0.7699999999999818
50000 76 799615 0.709999999999809
50000 77 784442 0.7300000000000182
50000 78 764616 2.9400000000000546
50000 79 826743 0.7300000000000182
50000 80 844224 0.7699999999999818
50000 81 828376 2.259999999999991
50000 82 911824 1.2000000000000455
50000 83 762020 0.7200000000000273
50000 84 731970 3.150000000000091
50000 85 758544 0.7300000000000182
50000 86 805989 0.7199999999997999
50000 87 782210 3.410000000000082
50000 88 837255 0.7999999999999545
50000 89 772393 0.8199999999999363
50000 90 744498 1.1599999999998545
50000 91 797202 2.2899999999999636
50000 92 757463 0.7000000000000455
50000 93 779063 1.6699999999998454
50000 94 706463 1.8199999999999363
50000 95 760874 0.7100000000000364
50000 96 852838 2.0799999999999272
50000 97 747907 1.4100000000000819
50000 98 792166 0.75
50000 99 784630 2.5699999999999363
